Tree;scenario;a;b;c;d;e;f;g;h;
1;12;1648249692;786185249;1081184062;1240326384;1837607392;1303963036;1881026546;221457639;
2;11;873313451;659198005;1239327513;1280389524;733636094;2126498399;1859764957;1227872057;
3;10;1746356228;1052397770;1209026366;591654900;1329902896;1622985903;1700124082;747551855;
4;11;539901271;1041340193;2128647626;1692515667;482925411;1725177867;182729550;2206762415;
5;8;1428284726;1470274644;1250504935;1421507016;1206798632;1458532224;856671267;907426556;
6;2;976254316;67752493;666493409;1371738708;1979491429;2420437434;1689943326;827888885;
7;10;456938136;1641085142;873863145;1704425861;917028657;1128635905;1373976229;1904046925;
8;1;1106398793;465735233;1529243644;1397551749;1302897494;1544675567;1407271589;1246225931;
9;3;1751898585;1469568976;1804800194;1125124074;1171162596;1190701741;722243249;764500585;
10;10;1975874582;705235234;1732821758;507986470;1138387729;1770924987;565275780;1603493460;
11;10;1228000416;424541553;1344692158;1059810987;1518027049;2256808170;434651571;1733468096;
12;16;1685743425;1685743425;1685743425;814256575;814256575;814256575;814256575;1685743425;
13;6;1880890125;158671321;1352463551;1649599451;1214446413;521959063;1317063509;1904906567;
14;10;948113184;373316841;1048281075;1154528272;1619402587;2559674541;735678164;1561005336;
15;10;1022524096;1925453485;1862329666;327128968;1769193838;1738974367;1049530325;304865255;
16;14;1209553346;1666572034;1679902384;1056203449;1476434117;986684206;1141964822;782685642;
17;11;1696648167;1563084064;1429260807;8870128;523752357;1853614769;2061121603;863648105;
18;6;1116172837;599903198;1289044310;1460338635;1747209836;1365284851;1159474494;1262571839;
19;3;1371369124;1738869183;578771943;2321667154;1153129236;861801267;330738724;1643653369;
20;16;2455867864;2455867864;2455867864;44132136;44132136;44132136;44132136;2455867864;
21;9;1521409603;1745896849;1146059094;1444094015;1738286628;298635683;764523765;1341094363;
22;3;2269185619;1089943472;1929274533;402633691;458210180;1833290594;1642840085;374621826;
23;2;1432370012;2145011899;1289321604;582365876;1151624680;750139726;2208347457;440818746;
24;2;190757587;1549101174;1565816834;1843730212;2324750230;1592954006;229938357;702951600;
25;10;1337521446;1647475666;1705466623;96848333;1591698351;2046863153;1106053805;468072623;
26;11;432100882;2093602713;96217591;920619022;1932155645;1865670517;1636839167;1022794463;
27;10;403250533;2215197475;1928641305;1454446916;1537797698;810359701;642246368;1008060004;
28;1;1913845216;380505220;1478506371;1532553445;198262839;2056954216;1385169286;1054203407;
29;2;1956211430;1162806970;1514020538;223744809;1650256837;1760898282;1588500874;143560260;
30;10;1394411725;115216508;1037273497;1802807507;1048058935;1762533629;434452221;2405245978;
31;9;499296051;1953421847;1120824972;1241625651;1596659178;1438336937;932425951;1217409413;
32;10;932408521;2280620082;1441772077;201811614;1074769134;2100836860;882891675;1084890037;
33;14;1341349215;1686311827;1774920624;828696681;1117653128;1158751110;749975942;1342341473;
34;10;1393153548;1725250622;1837223764;218914140;1099704716;1795395378;661715955;1268641877;
35;9;544410977;2381647683;2425710351;1174486812;2612450400;50141724;802042704;9109349;
36;12;1464101727;1640008552;2153727298;613979466;1412243300;1102375799;856966627;756597231;
37;1;1991681024;475240338;2402566904;186689140;396215004;1772066125;1997603672;777937793;
38;5;135761693;2179886009;2092519247;418856071;2150258503;985806352;1804647448;232264677;
39;11;971682364;566914848;1441353796;1684294087;898870564;1779356069;1327557315;1329970957;
40;13;1822826420;134428848;1057970454;2123887271;1055886690;1231684568;853066212;1720249537;
41;4;2198005096;404750665;2289941998;1991503977;1400379984;239733506;178117536;1297567238;
42;1;2036559932;213341984;2180677814;1189833263;1956155554;336474917;196176992;1890779544;
