Tree;scenario;a;b;c;d;e;f;g;h;
1;5;2042611939;1346509063;972788537;668779825;1295574414;394777259;1572726984;1706231979;
2;10;1591514975;1076665627;1112367570;1525825326;972178386;830341264;1299680762;1591426090;
3;2;1810108537;2183814277;1238150947;701463273;492675125;675042947;998892432;1899852462;
4;9;1307532071;1058390060;2294219821;496401923;1990700699;1691298534;678830133;482626759;
5;14;793566130;1364630095;788364465;780650735;802644870;2062655631;1369198926;2038289148;
6;2;1614127067;1786908133;1731592259;835860922;1400131202;1553063234;674900212;403416971;
7;12;1760314820;825320692;1008791906;1216282521;1461949369;1227747983;2021333334;478259375;
8;9;1067169013;2309256884;443655293;585816076;1709302210;1205025233;1803016488;876758803;
9;3;2292992378;1802575221;614329946;2264845877;875813085;772150993;143966752;1233325748;
10;1;1534459227;1829462073;883871734;991640403;813155405;62445347;2855995479;1028970332;
11;11;1302001768;1504083977;1155603173;652330596;1397493730;1594934869;1651278633;742273254;
12;13;178817137;2109014914;935502734;1557934367;268528446;792322454;3623428387;534451561;
13;11;1411761435;363851758;1768215493;1749883853;743734762;1561624555;1142261467;1258666677;
14;11;1008928554;1438397945;1419603917;1901200357;3145407648;97182042;164142851;825136686;
15;14;2348902597;328690990;956797645;1941101810;775944325;829828510;945812326;1872921797;
16;1;1428503698;368736088;2199439072;452888206;2298624747;479368852;748241528;2024197809;
17;11;2084571945;1232204656;1251784243;1525162619;1828501034;291828801;965159053;820787649;
18;12;1738269932;1015680177;1211412772;1266594569;1206308573;1022860342;1517231258;1021642377;
19;9;1972957590;985123410;1041374874;1728302618;285453378;344591275;1831443627;1810753228;
20;10;584333788;2302643192;355089855;282987124;277701282;1312588919;2531519334;2353136506;
21;2;654394494;1385943008;2155774027;737586399;1553717612;1330676471;593446837;1588461152;
22;2;1755872398;181394597;1262840757;369585720;1909961281;2148958159;1606496014;764891074;
23;11;1137372405;1225301130;1027658399;1697871671;1505401312;954096261;1045789018;1406509804;
24;2;921882150;1802764597;1741930627;1811626526;977806446;167345579;651738961;1924905114;
25;10;31778796;1491420922;693487372;1635431712;2099711978;1977304600;1828973984;241890636;
26;5;618955835;539105184;1714336623;1578412943;1511830958;873693926;1732336262;1431328269;
27;13;2171153799;344328281;788199919;1521086738;2138362058;1157027134;695834138;1184007933;
28;1;1589020046;982248230;1697295702;1803367116;1081468039;945377137;816016220;1085207510;
29;10;261011496;2109480242;814649363;1874209972;974449108;671794195;1933219911;1361185713;
30;15;1884052360;2200920380;1102846396;367458329;787267735;470030898;1138145688;2049278214;
31;7;1444640949;2075074139;1710781510;463412141;2405879452;1047362342;845930201;6919266;
32;4;843825624;1381223641;1856376890;985849740;1404159338;1037477556;876670300;1614416911;
33;13;1874169180;1180442906;1165427385;622286833;1319553533;1300742531;667639809;1869737823;
34;2;1761446474;1702170180;2487810254;170967032;328313089;288073755;362016448;2899202768;
35;8;1368891221;1549711289;886405807;1233702667;779936399;1379651644;1300492605;1501208368;
36;10;1748925457;1274318262;1739590800;482284618;1552118299;1391377737;1287787205;523597622;
37;16;96779494;96779494;96779494;2403220506;2403220506;2403220506;2403220506;96779494;
38;2;1486911110;1242599773;1341431362;969988094;1390544443;1341038040;1360453863;867033315;
39;12;1498776098;1532098230;1324388274;758444743;1066129941;1208220919;1406204941;1205736854;
40;2;281804351;287681832;1603864723;955013677;2523947474;1594341522;1031335582;1722010839;
41;10;1428025206;725009777;1370798157;1012517586;1274609867;1831654377;731337315;1626047715;
42;12;374582397;1649836440;1373003404;1479687269;1342939585;1589530694;521230156;1669190055;
