Tree;scenario;a;b;c;d;e;f;g;h;
1;10;987076111;1884419032;766642432;1230838369;612778314;590868429;2003714603;1923662710;
2;12;1389057080;1480180761;1130572797;607860914;1196092567;1593573879;1750763890;851898112;
3;3;1641961437;1625858074;1019617050;1097402918;1447428092;783520565;1264983744;1119228120;
4;12;569750171;1039989896;1576336242;2018157667;1883142331;1218476426;294083489;1400063778;
5;10;185841283;1709024610;1488520694;1747657606;1311882154;1417939743;220717575;1918416335;
6;2;1597340132;91729116;1538911209;410805032;2605327810;1234849174;2017712111;503325416;
7;6;857299451;1795545515;1841403134;566770282;1245884301;1082862689;1137901056;1472333572;
8;12;710575716;2551533401;1001255948;145548803;942222671;2459105055;1331083212;858675194;
9;8;670879033;690850650;1631964513;715977331;1754408822;739225658;1942328669;1854365324;
10;10;829722583;1316121710;1894438258;2051834274;1372850222;725589347;28669039;1780774567;
11;9;1878338182;877542810;2378012314;438670826;1239683575;1606474824;103683078;1477594391;
12;10;319065155;1724731694;2429662542;1020603989;2226172029;1381687401;147078210;750998980;
13;10;1080536689;1793453648;987051537;429981271;1244986938;1941807577;1949254009;572928331;
14;6;162782592;705750545;3191610495;66098538;1729819300;831778183;878533773;2433626574;
15;4;1897186660;975408820;1708080385;948756483;1197886150;663817923;1302515746;1306347833;
16;6;366637806;1068858926;2877178146;189571999;1705007530;242081152;1558736318;1991928123;
17;11;1004941326;126524711;2439045017;1695391131;973783242;2060444918;667448258;1032421397;
18;10;209525221;760702355;664728263;2063674070;1075223639;1835943392;1166570323;2223632737;
19;10;1410984769;1268124918;1416042252;1391611068;1077831914;927647657;938064725;1569692697;
20;16;1256443326;1256443326;1256443326;1243556674;1243556674;1243556674;1243556674;1256443326;
21;12;2252314368;771509051;1624300423;2054230119;870573910;415790924;174234720;1837046485;
22;11;1557634376;2529484431;496205518;251029422;940531676;440016123;1475415060;2309683394;
23;2;1261770677;1330096631;1486298091;1249020598;1234531932;1406721250;643592960;1387967861;
24;6;1102680117;622176577;1791504984;1154907452;1790195891;1797749738;285262441;1455522800;
25;13;1809819054;686455964;537235747;1567154528;1135220052;973863851;1665647324;1624603480;
26;10;1986965674;1051641790;1557067481;2079221760;911331553;266250955;459109345;1688411442;
27;12;2921219615;1059631917;917478957;482002933;252687575;313552763;1150587698;2902838542;
28;9;974071292;1042523022;1616337424;1637961061;289931470;1276929028;1982723874;1179522829;
29;12;617377811;1806472389;1582102803;657423059;1844091303;2068285884;799212802;625033949;
30;9;1820079827;389745847;1463171760;1365928080;1790344619;1422555328;689422286;1058752253;
31;1;1296248687;1126873811;1283294881;1694460515;1288957563;1467236604;1185163480;657764459;
32;14;424923128;1821863017;685389632;1001757708;1639468717;2033985376;2376051233;16561189;
33;1;89841410;1064681270;1507942532;1936251025;1824866054;988278431;1059371188;1528768090;
34;9;913761463;558243746;1107866937;2620810934;454397986;940726474;1969680795;1434511665;
35;10;1738918282;708237147;1395726784;1047920571;1539938563;1490641861;1185147877;893468915;
36;2;1465541707;364842;1163962618;895518327;1463509253;1836049196;1360762583;1814291474;
37;10;1119221693;297421958;1002491919;1084886320;1420682066;2490971811;869601516;1714722717;
38;1;1339487360;1739575064;903960970;987164788;880362172;1116296338;1489406210;1543747098;
39;9;2327064081;1051049707;2347059550;1748054575;96878317;249876896;773235799;1406781075;
40;12;736123570;1454836240;1192015856;1372989777;1188745137;1445700010;995508207;1614081203;
41;10;2457794993;1572373328;1281397731;852568934;689107604;204102497;1719567951;1223086962;
42;4;2038384506;510735337;1928917607;623576356;1041516316;274806568;1544078482;2037984828;
