Tree;scenario;a;b;c;d;e;f;g;h;
1;4;239539869;1556246168;800604671;2078000069;952924325;1847026892;540324384;1985333622;
2;10;1222164099;586829285;735766305;2051302838;1300565556;1223720219;1773748308;1105903390;
3;9;1432626765;266405379;848308997;3366417446;486313576;562794600;285850420;2751282817;
4;14;2002598032;761097378;1150952872;2295597047;1356156373;428098761;1297416498;708083039;
5;9;1138360775;1325411805;2197838814;1458234851;298592757;1074220625;1765989733;741350640;
6;5;519662319;538156477;1919769092;1191448043;2239074672;1786802452;626209949;1178876996;
7;9;1220266364;2162446743;1975395535;1378491813;439304349;225508514;1635612273;962974409;
8;9;2213204077;1298208527;1445938043;964539873;2039464481;436857991;623208338;978578670;
9;2;500548909;432030308;2652521730;1319786526;2446746832;509155434;534087494;1605122767;
10;10;193839438;1703052786;838153627;2233160110;2136545852;825092421;1975207668;94948098;
11;5;1315929533;888995372;482338002;1406358544;835694713;1864358195;1431025279;1775300362;
12;1;614146469;1711353137;1775822105;601562787;929281577;1679793163;1329973612;1358067150;
13;9;1305412404;1603160230;1396133654;1972864771;288099227;113026112;534267232;2787036370;
14;1;1242915924;2328286783;35829104;570485097;1536115494;618989090;1342957196;2324421312;
15;10;1889073222;363551532;861566217;1724401593;1564703479;1238042504;1948505199;410156254;
16;14;1695214863;1312244645;1498028848;1372145346;1177532986;682604432;1200590548;1061638332;
17;9;565862355;1045297510;791726986;1710747380;1597411025;1676019336;1532826394;1080109014;
18;1;1700416698;1218380802;568642590;1093024260;99616811;1396072956;1764710507;2159135376;
19;13;1404115199;1186570955;1633612643;1436153245;1485190266;929943613;1066085315;858328764;
20;2;1555064121;412978072;594498321;851134719;1603359729;2315273868;2537372478;130318692;
21;3;833387745;1238800886;1822727169;1832729372;480288807;1874308957;147447444;1770309620;
22;7;1636039106;1521682162;1323400278;945678442;527526229;890103115;985115908;2170454760;
23;10;1438149993;1492149105;1263627281;1366329927;1252286196;727749769;1654818943;804888786;
24;1;1164360265;1624075817;1367639552;1009521317;1589747808;2130590238;597612083;516452920;
25;2;193175173;161471505;956218592;852492433;1889334031;1887289422;2017266228;2042752616;
26;10;1932425865;924539779;672618952;2159444635;995294445;284341867;2492427672;538906785;
27;10;664961699;1456376219;1567836924;1796265890;1460609505;1041939280;521866285;1490144198;
28;10;387653681;1647490576;1554982104;1256238181;1888100173;1655607347;695942754;913985184;
29;9;430962936;281935644;278554948;1402830577;2658976417;2922897875;211048337;1812793266;
30;11;1402299100;852406924;1135200504;1282951588;785610078;1381907432;1765454964;1394169410;
31;1;156742617;1992746686;1800079126;2190170234;2444390177;73841198;561383347;780646615;
32;10;2384209608;540488891;2525773157;1283126942;1827680513;533631540;539916972;365172377;
33;14;731270493;1767836072;1060469121;713652788;1101508480;2077145670;1166095512;1382021864;
34;10;814255995;1995143598;1356062475;453315528;1864203110;1964565246;1501326043;51128005;
35;10;652218166;1411535190;1185637971;1313744297;1885266365;1627948815;1283765055;639884141;
36;2;185251828;981228928;462246797;2079733541;2036548411;1831534689;2192830275;230625531;
37;1;463593235;1432551035;1217091673;1522984230;1554337943;982601235;1196493480;1630347169;
38;2;2039175540;578938706;1973766880;943724337;1851919621;1023952533;1006340743;582181640;
39;9;1959006326;1472664358;755699334;17867214;1361464199;1593171488;1200645317;1639481764;
40;4;785354063;813544396;801345766;1741717370;1747215326;1722770641;1607964314;780088124;
41;14;386901971;1898409311;456187950;938979675;1112586213;1972453557;3040886050;193595273;
42;11;634425305;633302205;1298165062;1526750933;977018234;2242006578;1512388094;1175943589;
