Tree;scenario;a;b;c;d;e;f;g;h;
1;11;1039161129;151709233;1129336225;1757079945;414701912;1856616369;2353483036;1297912151;
2;9;1720218892;1070608476;1189147259;932283842;1169705005;1298004199;1263809917;1356222410;
3;10;2107475681;326707056;1773900637;1649483385;1722239541;989195972;587533665;843464063;
4;14;745708490;2707339836;2238012720;367618162;1116422446;1433596388;387379651;1003922307;
5;3;1188335926;1657867674;1859743335;469051452;718955678;1506155030;1182682790;1417208115;
6;10;903174972;1873477874;1965225131;107128486;1500648371;2376391320;315740377;958213469;
7;10;1577222612;1495148077;864874501;404703844;692333954;1355601070;2018069200;1592046742;
8;9;1858734249;637451511;1174257741;619654477;1913420918;1820612497;1125142339;850726268;
9;10;1106731361;1202401848;1996125415;1763404783;2178140725;553226913;733540131;466428824;
10;14;1399145370;1451532262;1369419694;1162148628;1152496985;982252510;1245395624;1237608927;
11;1;2340228390;179057973;484627148;2423058720;690114990;1431717180;1144206773;1306988826;
12;10;1805083446;702439748;1292892606;1594922234;1178739766;1045014655;965953435;1414954110;
13;8;1138236556;682188532;2188345218;1148073697;2222539560;690828393;972944701;956843343;
14;9;936470319;167107223;1293549830;2241236717;1153572693;1751730197;391490685;2064842336;
15;2;725783124;2995947100;600047885;1102768400;647773513;1267980590;2142337900;517361488;
16;11;370165514;1311271283;338436627;1678301695;1643914228;1625953529;1716060992;1315896132;
17;10;1956722988;489024043;502152687;1838448511;507032761;608831530;2073074038;2024713442;
18;10;1783838610;512012621;910396643;1154988938;1608336332;1593339706;2028144639;408942511;
19;9;1345640108;2159603426;2373301311;1488709478;169260661;13447003;906389027;1543648986;
20;10;1858225223;337174146;1009809351;1159659400;1806091848;1653315532;1766557938;409166562;
21;10;1578292947;1534786031;1544207073;1059739352;1186443757;807652195;1268980369;1019898276;
22;1;1161448197;492932032;1249638590;54721164;1868653959;2225692295;2018346022;928567741;
23;15;1252615852;1517871410;2382725624;997705574;893813056;1114813305;405461139;1434994040;
24;10;1025029073;2477456383;631581506;167728697;365195571;1087587985;2060609183;2184811602;
25;2;1369296246;1367789380;717449071;1731283999;844003378;1338981116;1505374884;1125821926;
26;8;317800386;545787364;2279961420;280634038;2084166220;485344767;1927196149;2079109656;
27;16;445933647;445933647;445933647;2054066353;2054066353;2054066353;2054066353;445933647;
28;14;892198220;1251979301;817621491;1524880609;1376490827;1318250116;2073173777;745405659;
29;10;1049555303;46270331;499587531;1628670888;1414554934;2206793145;2120833951;1033733917;
30;9;508873747;2192242718;718953213;712765489;1648895531;2039265002;1352354738;826649562;
31;10;1565456689;1132990949;1881028686;1089470900;1923027514;955948832;1103396570;348679860;
32;10;1047247630;573050143;736467035;1947285392;1272327993;1433320344;1705380369;1284921094;
33;10;876888804;1342597050;1216874574;1439986744;1283436931;1350981761;1022053438;1467180698;
34;1;242636785;715964641;1850385324;889203830;1432064401;1652021527;2101387663;1116335829;
35;8;1321953245;1416012236;671366267;1451345746;717366377;1551334445;1471212892;1399408792;
36;6;1137461155;405026390;780672796;2244787133;1554499646;1815936381;1036646627;1024969872;
37;10;1510113491;315142749;829986060;1393269841;1098366517;1723104690;1467626772;1662389880;
38;12;519587365;1255005226;994881713;1175215745;1710074690;2206402031;1263789071;875044159;
39;9;166995287;1610749457;2004367838;1118297862;1712359510;2084291068;111050103;1191888875;
40;5;1830839748;1699836374;739916956;45147032;1437189389;1108682809;1044125960;2094261732;
41;9;1448273225;1588791936;816096029;309257633;1897952246;1746238426;641109020;1552281485;
42;5;1137603657;1590839743;864054613;1533189214;1539433202;1140389962;1821977519;372512090;
