Tree;scenario;a;b;c;d;e;f;g;h;
1;5;1748044411;2226125403;972963130;1045772975;1597954424;318796032;1964634767;125708858;
2;13;1609714772;757037994;1828531144;1004344786;1302829127;1553540437;135337976;1808663764;
3;2;1086338983;1077303284;1548624848;477993261;1461983842;1547421196;1348016381;1452318205;
4;12;951009444;742644358;953034799;2181579507;1584572026;1199998056;1271760536;1115401274;
5;5;2375896805;2395289195;2016440263;1496130;1168290943;424834602;499431798;1118320264;
6;4;2692797486;31919297;387933151;1236780760;306605960;22781271;2849446420;2471735655;
7;12;1762608928;964174342;657537605;1081577422;613231585;880900328;2214441814;1825527976;
8;10;1189739242;640488519;968261915;2911366871;1196953706;662141106;747170033;1683878608;
9;10;928296737;867830297;1122060288;666256771;1579526357;2729365544;861014365;1245649641;
10;1;1569438829;1618730077;1778064311;485837259;474701387;1388808010;1152716322;1531703805;
11;12;1653340254;1195371175;1765495857;1446468126;1156978479;744365668;585834259;1452146182;
12;14;1038013636;612178846;1054009507;2165498372;2173894185;1172985979;1244860443;538559032;
13;6;1126581855;691034464;1305574038;1392991156;1641597942;2396497256;131940900;1313782389;
14;6;466095166;1665561354;1085764222;682865157;1525775261;1417343925;2237630445;918964470;
15;11;1641027652;1039611677;1445603100;143680634;903419123;2268252558;2281220557;277184699;
16;10;906050062;3398526057;642345859;98974079;357583398;614685585;2475470743;1506364217;
17;16;1823779254;1823779254;1823779254;676220746;676220746;676220746;676220746;1823779254;
18;14;2473361322;141079960;1218572724;1949813977;938989760;965918609;523082606;1789181042;
19;3;1766737246;1581505377;232965296;1768650752;1094762201;1064275614;1485729295;1005374219;
20;8;756939349;1378720339;1664494476;733362073;1538485315;1276738447;1270406420;1380853581;
21;9;484584103;1182264100;1093266919;1538171641;790796280;1733626903;1232376145;1944913909;
22;1;1381886304;1085693273;1754204949;751399045;1639218672;693076191;888336518;1806185048;
23;16;2489711830;2489711830;2489711830;10288170;10288170;10288170;10288170;2489711830;
24;2;845577164;1480672902;1722556327;453220260;1616118806;1225715427;1569561951;1086577163;
25;16;171604631;171604631;171604631;2328395369;2328395369;2328395369;2328395369;171604631;
26;10;731398339;1483713834;1441354932;1163490882;1426412897;1666129934;736415090;1351084092;
27;2;1721896803;1208809778;1491155975;1287052685;1548074510;584753386;1701117773;457139090;
28;1;2397035573;184091530;1558597762;1401677450;893866795;719964418;2091221461;753545011;
29;10;1783413594;1933061448;690159762;471979480;435421404;283946442;2642329741;1759688129;
30;2;434339033;1762963024;1339571406;1245523136;1443319973;806199761;1721748918;1246334749;
31;9;242792770;1244286179;1926478896;1310525816;1422082788;2253928751;1147284776;452620024;
32;11;632706925;2086721301;248789092;1364550230;2065042021;978980251;1262479999;1360730181;
33;13;503169015;2079827042;1490362633;852667536;995793653;1879018258;1076124872;1123036991;
34;14;1942449318;177922245;1896165710;1632346848;1619838946;1255763795;78789348;1396723790;
35;9;1902932646;1207035754;2357168841;551532090;71257081;1326237109;1751222715;832613764;
36;14;1025335568;1541341168;1474267890;929794311;1398456056;1513247730;991256671;1126300606;
37;6;857854367;1276790461;1681721941;881098140;1710052272;808275279;1627884372;1156323168;
38;14;1720719349;1835496016;1121178144;923524877;610039072;383411323;1603277173;1802354046;
39;5;1023033388;1734470182;1376515720;1059122512;516193725;340832552;2019495221;1930336700;
40;1;2627995480;983056925;1984621559;2211055774;74770289;893990796;1111439358;113069819;
41;4;1497691539;2634204680;800060226;1017089587;674398492;2267869787;651618183;457067506;
42;9;1535781066;1116027743;1661903702;752281436;1368042025;1543799349;1620348199;401816480;
