Tree;scenario;a;b;c;d;e;f;g;h;
1;10;1614766126;578481066;925168123;1298903587;1115527510;1492109515;1552888896;1422155177;
2;1;1387993362;54075044;1237751449;2385234425;472395689;331679722;1685874686;2444995623;
3;10;2007190357;583224635;815743797;1273155775;701938738;1040721613;1641992101;1936032984;
4;2;150800014;2332073991;1869442816;561958712;1976999601;2175105553;448357813;485261500;
5;10;1586980788;1126990280;1492589231;2124864374;963711460;406457711;441803552;1856602604;
6;11;635195805;1736885033;417115405;988721223;2428253845;1779979751;1415972058;597876880;
7;1;1139056698;985777610;1348622567;1465767962;948671174;1316365847;1375051525;1420686617;
8;10;1137415029;1139689341;806552460;2144387192;1197953273;631366842;2007121404;935514459;
9;1;1461730648;1231669629;1502548241;1712967662;2184443803;248683281;981766432;676190304;
10;12;2540344799;863776933;2546582332;1157613936;1179307140;418272434;419462258;874640168;
11;14;1813086555;896802180;1820670780;1496483243;1516606524;796731572;739473212;920145934;
12;1;1047787641;857279537;617644269;1277397178;1139071187;2107006046;1327056948;1626757194;
13;16;231117361;231117361;231117361;2268882639;2268882639;2268882639;2268882639;231117361;
14;12;769731984;1606961456;1597972458;996938517;1599213890;1642483639;794055443;992642613;
15;12;1903752105;1593755145;2065650418;708396180;955499915;736603236;745941290;1290401711;
16;2;1212615438;1487238166;2088716163;1356125202;1623896041;1021089719;373923701;836395570;
17;9;1089152453;1494559324;974073851;318563040;1079353156;2380968462;2182412695;480917019;
18;2;1730448114;44969580;1629878420;239005588;1397330996;1799941936;1204328761;1954096605;
19;14;1343269598;783794227;1188487613;1624591511;1409262525;1266949056;1158397852;1225247618;
20;14;1972719249;499142478;857161271;1665684755;738982835;948098559;1241659859;2076550994;
21;2;293711000;1002404044;1912213712;2327132473;2032016691;263115604;513951386;1655455090;
22;12;926844311;1459907853;2002516964;1310935104;1570768891;1127165157;375364759;1226496961;
23;13;2184059029;269899588;365731478;2477385446;1664178612;747511083;1297576530;993658234;
24;2;1776246342;893859780;1271745719;856433953;858884527;139337788;2166672233;2036819658;
25;14;954409837;519477830;824836115;1726982894;1503659915;1776293897;1463946481;1230393031;
26;9;1817755207;1367284715;1417105055;153586577;1515052395;1676377156;563734569;1489104326;
27;2;818900586;1746127899;1083651657;1726637704;1360009243;1249141082;1245874387;769657442;
28;10;1370273030;699375606;1434566869;1287832766;1578530550;1619104269;759032290;1251284620;
29;13;1300960332;1262496627;754019703;758465678;1177675508;1671447279;1259355572;1815579301;
30;12;81649539;1125497280;1117399557;1938877051;1867249709;1863086745;581544055;1424696064;
31;14;1415381139;95701956;1451324873;1709242232;1733289251;1771194424;249239270;1574626855;
32;5;1571081369;1090785358;1061110512;1040721151;1071174925;1299166262;1044211291;1821749132;
33;6;1410666948;858509765;1691952108;1802948835;2197142722;1166321413;453258034;419200175;
34;2;1563848742;1645133621;784990285;1238779879;775972343;539433185;2445401957;1006439988;
35;6;444573310;2221323770;2111784349;336995604;1513729095;50272368;2304801973;1016519531;
36;2;1202059283;670536503;873289503;1950038368;1528524985;1989632747;865764499;920154112;
37;11;1229205758;1963341080;1064029998;321556934;798348067;1659554336;1721946368;1242017459;
38;11;638558679;772054251;2024448517;1579206399;1369008010;1893289002;523729698;1199705444;
39;15;438652136;1550378539;2072522159;892281112;1709632407;2056008879;445328819;835195949;
40;15;269908946;659579851;1552612887;1799206294;646541636;2314691804;985167299;1772291283;
41;2;1782689470;863347743;972825175;689211604;1153042353;1769254840;1847934103;921694712;
42;12;2195513004;643154447;2136741759;1157600737;2130908939;688327068;1043527513;4226533;
