Tree;scenario;a;b;c;d;e;f;g;h;
1;3;1354203801;719900799;1308311430;2717016509;1729350116;323721796;268211107;1579284442;
2;5;518884304;1470749245;1759563103;508393998;1505886760;1629103795;1026216918;1581201877;
3;2;1872746450;1421763327;1389406165;884582821;1166952422;2175207884;319306447;770034484;
4;10;1337031233;341590286;796671456;1811363993;1520255876;1582387143;1632645233;978054780;
5;6;1668707068;1755962068;1151638929;1603728608;1084034469;1869789278;315067743;551071837;
6;14;1176008362;1139595470;1089044921;1450596446;1333209315;1240117473;1483064846;1088363167;
7;1;1187945520;109118543;2677171255;1512313730;186218719;1702484978;1870082225;754665030;
8;14;1663043457;1230228988;1515529673;1323939953;1231245632;831098602;1084930466;1119983229;
9;4;1085522223;1012615137;1100737158;892118378;2141703026;1997327881;1572254831;197721366;
10;10;2042575461;1908498962;1764502572;78874894;1182680997;971818674;1790330244;260718196;
11;10;708850063;1621287340;1702576965;1013943878;1088309330;1750530727;67349264;2047152433;
12;3;337432727;199113939;1865206691;938925792;1750212010;547483807;2050405224;2311219810;
13;4;1671719715;1410148944;1084860218;976256869;1197956580;1598322335;1501760913;558974426;
14;11;1559922247;265233637;2053146891;1624304976;1376552160;1490534978;1061100455;569204656;
15;12;926261356;1564017349;1597827386;831017436;1670343740;1681555543;951341339;777635851;
16;10;2287464986;377447544;1899905854;636212762;1462538081;1608734884;615101137;1112594752;
17;14;1099424645;1362847554;1404903396;847391831;1090177061;1747677858;704562226;1743015429;
18;2;1376667864;1835947140;1437478113;1265294428;777458943;169559010;1333432211;1804162291;
19;15;2098763642;685608899;1315680020;2008667120;1440786920;568884929;995063686;886544784;
20;1;2507474262;832484819;125738868;1614329429;1059073260;1898651662;1875755686;86492014;
21;13;236544026;2364319070;1841236867;697777929;1452883527;2146654294;767984993;492599294;
22;12;1532369187;1713469169;1763023278;903095716;876445941;831299864;690659986;1689636859;
23;14;1583365181;2341449836;1815095794;512332358;580887977;585917376;775881886;1805069592;
24;3;1512924208;1283958840;1932250718;233211884;947212057;918237199;1576365320;1595839774;
25;9;1426430735;1450835424;1353045412;1745591991;1600708025;400719478;1286439497;736229438;
26;1;1551590435;201364343;953927245;940085837;2512703107;1745825201;1614300704;480203128;
27;3;624423204;1586261485;1032845688;1739126532;1757241991;1771754002;483590446;1004756652;
28;6;524582655;1388374749;1605669943;683416743;2019860276;1239587633;1635780869;902727132;
29;9;2089477679;676021815;1334627415;1009893263;492234486;1227660513;1649230348;1520854481;
30;11;1343432750;582231217;2976501000;124952968;304206587;3054789374;1358476735;255409369;
31;1;3979277;1174540049;1451864300;1605817323;1764134806;1470239443;1292832060;1236592742;
32;1;1835274500;884806069;1302762276;290461521;1908772985;1179090944;2065700823;533130882;
33;10;1395467167;1615602231;1153427532;1820851639;1286433602;277757885;1856152898;594307046;
34;9;302134900;2214623503;237666430;721639623;1788122444;2387110965;580661375;1768040760;
35;10;1785146289;594755648;2176081214;2111189583;2103020275;351537017;363448878;514821096;
36;2;448786181;1726680531;439600529;2350830831;847894135;1853152929;1545464029;787590835;
37;10;309073642;1607990960;1179652092;910449179;2461391265;2240483666;1158335583;132623613;
38;14;1424738227;636302081;1309612608;1625141195;1492927558;1367829602;861097911;1282350818;
39;9;495200675;2173939080;1690295868;1274822481;114074275;1066136783;1339872265;1845658573;
40;2;2275794753;1799405701;1251334431;368649223;623252636;2310298600;40082143;1331182513;
41;12;1627582837;1071566741;1259212447;1498556550;995972405;873045759;1087178610;1586884651;
42;11;1118679443;175281440;1777768563;1916360935;546604879;1846470504;1211345069;1407489167;
