Tree;scenario;a;b;c;d;e;f;g;h;
1;7;1092884506;2054607533;406328110;363653843;1629723128;1663018524;2071174212;718610144;
2;10;1612631470;1398785971;879082296;46658153;853429316;1988847692;2043679103;1176885999;
3;12;1745808352;1590377264;1217013674;628345077;770071030;972326442;1483047491;1593010670;
4;12;1831769837;1164241188;1050705476;1082909533;771545671;857572479;1515025213;1726230603;
5;10;1063388693;556978292;918967375;1631926578;1222785139;1750582240;1080473795;1774897888;
6;11;1669472565;1410207657;1453140475;271489148;1005332;1390464600;1633024903;2171195320;
7;10;835661980;1728668634;1271159660;937233342;1280919886;1627877130;1201312269;1117167099;
8;15;2083324704;2183086727;928859434;300426902;908232229;345615273;1326163236;1924291495;
9;9;1409200389;1780087967;1759038602;413057321;856954380;1501285814;1679511431;600864096;
10;1;514046522;2710186778;254098977;2926182182;90973491;1611807861;363051231;1529652958;
11;10;2143253470;2059801714;2293625356;200336536;624026124;590390547;730439755;1358126498;
12;12;1116431722;957028464;1790474202;1707319911;1824197599;1025720001;518952408;1059875693;
13;13;2270549043;990554504;240514139;1149233790;2166545772;737301720;1635865219;809435813;
14;16;1380546884;1380546884;1380546884;1119453116;1119453116;1119453116;1119453116;1380546884;
15;2;523114938;2616456766;2385559339;1762446045;1765567175;461460775;277648846;207746116;
16;14;1778488679;1288031889;1456037261;1870604366;1512234572;240688373;1490128168;363786692;
17;16;2305417504;2305417504;2305417504;194582496;194582496;194582496;194582496;2305417504;
18;12;2035434614;1133780869;1798319665;722615906;1557148702;991351799;1384588058;376760387;
19;2;148681450;1472015046;1097820064;702288985;2020684717;1687223229;2086687605;784598904;
20;4;1870917771;863879795;2135127969;318559770;2044801858;789695696;1721104605;255912536;
21;11;2231050598;1562272842;2445230906;576530959;98217795;630456191;241908346;2214332363;
22;10;1253606940;51076420;1099071283;1739592388;2045600653;1931323263;764366831;1115362222;
23;10;1712467748;220370992;604968676;326460121;1472639835;2750705698;2539679779;372707151;
24;9;2222201018;483877687;35889587;1686847064;1230852811;705630028;2375806829;1258894976;
25;12;1005537227;1852146224;465989648;159724992;372113540;1458694029;2405055573;2280738767;
26;3;2297663011;2939635944;474236317;1703522903;2125910464;200310437;9704469;249016455;
27;11;910459105;1970447591;770680123;646057213;1200514859;1654688903;1595548636;1251603570;
28;2;955834126;297825306;823603650;1752256340;1392423507;1826671026;1338830463;1612555582;
29;2;1104125050;908117924;1064518587;670791014;1419597881;1705081414;1907097060;1220671070;
30;6;297222089;2045507925;2357825965;290695271;2651877272;231096627;2099553924;26220927;
31;13;1213899973;1682711970;1573018458;1222626851;961506556;899742892;1300532730;1145960570;
32;10;1746451627;1536402715;1319367520;192934917;471019664;1495938099;474962913;2762922545;
33;10;1034682859;681043031;1113448507;1697354067;1969476051;1539209285;1156678400;808107800;
34;2;1173796472;1117426067;1022311221;1663024119;1367330775;1366009202;1336614909;953487235;
35;9;1926686515;1124744431;1808158547;81480772;607877278;1921649554;1397074920;1132327983;
36;2;77526165;1563425705;1746165256;922931008;2029163159;1626235078;793404160;1241149469;
37;14;1290158690;2535056971;2327566331;461107116;816435393;756064663;586715059;1226895777;
38;11;1716913404;1581501757;959752307;1482231781;1696159249;303019098;926654774;1333767630;
39;9;1471621191;1708175404;1424711111;998743172;1296231958;806028638;237097964;2057390562;
40;10;1333310965;1089389310;1887200385;1710533343;1421766096;823247302;369023314;1365529285;
41;2;1234917131;2248282288;1405945146;1729316252;1246426028;805243973;902140965;427728217;
42;11;773400262;1148749494;648238822;995892686;1944266253;2202377126;1828610991;458464366;
