Tree;scenario;a;b;c;d;e;f;g;h;
1;12;229438938;664895024;1063042612;2842245382;1949043856;1264946064;432938077;1553450047;
2;6;786473784;1698861075;1694878750;925664530;1915973772;1682028264;791571818;504548007;
3;10;1844451390;1096448400;1220504487;45928441;869644176;2049521713;1172156044;1701345349;
4;12;1138361525;785152814;1748554574;2257533422;1767485513;794455991;227892251;1280563910;
5;11;1695756824;603051081;1912551405;1592801336;1306837957;1135198997;905333818;848468582;
6;2;1594224996;1102418271;1239248920;1130377326;1699866672;2295181759;631495975;307186081;
7;10;413782691;1494007121;790607352;2228657643;1616303606;855364522;2015368480;585908585;
8;2;132785067;1876747005;1658439223;895539602;1374531655;1206034178;1044082211;1811841059;
9;1;2569989381;419446551;793819612;2246923506;546028420;630234422;1698217124;1095340984;
10;10;1243853416;1327342933;1425531064;1462881622;1247000485;951856912;1022450219;1319083349;
11;2;1263224464;690690541;1829421469;1127961655;1848851857;1508289184;558071969;1173488861;
12;11;1776965103;718692582;1164360266;1938611296;978089224;793926579;1155851240;1473503710;
13;12;1068832876;1219340429;1236506151;1219640957;1497368725;1467397875;1306700373;984212614;
14;14;1314883876;658802395;1493820804;1466847128;1678317630;1487740474;664348010;1235239683;
15;12;1291889864;989666423;1353973127;1828263492;1250365262;946094947;790953913;1548792972;
16;14;994555293;1065590951;1094207148;1675400192;1871314044;1251938494;1489018963;557974915;
17;10;155661444;1562196171;1288725576;2082861068;1868489650;1130974130;852435622;1058656339;
18;1;1647792636;989438218;471117877;1627295698;1416657555;828832913;1814436609;1204428494;
19;7;398754672;1585546461;1536576671;270067309;1581019833;1438058625;1624030686;1565945743;
20;1;1078703123;12790600;1501226891;229086203;1803594705;1975195141;3166253130;233150207;
21;13;975947457;1645455657;1547752108;717506682;1283240217;1763150956;639220299;1427726624;
22;2;1927309256;201770052;933879725;2050459234;1692962311;860109875;1817127313;516382234;
23;14;1529422533;347541264;1499908062;2146042208;2100638460;994388922;601198478;780860073;
24;4;514928747;637307160;1003547358;912942574;2203711872;1351376750;2391414838;984770701;
25;1;550780855;149694198;1232978003;1707505788;1358730616;2270811395;1970379196;759119949;
26;6;168162788;2348571551;1522763940;201656519;2003081302;1807503762;1644383484;303876654;
27;2;848398631;554266070;1933015128;1093636399;1434029066;1220890473;499921192;2415843041;
28;10;1719125395;1633183952;1315882868;475328472;1019408907;1177031266;1688115564;971923576;
29;9;1181176355;1083223680;543992026;860410245;2646119684;1825220210;791439977;1068417823;
30;14;1930109826;909608650;1712881002;1496885437;1342161878;746990733;784117259;1077245215;
31;9;2263264409;1248546908;1799954570;1508166315;823859435;213800120;1796033774;346374469;
32;2;633069862;1290138529;636907273;2187124829;1866554573;2706562666;662321950;17320318;
33;16;1676586102;1676586102;1676586102;823413898;823413898;823413898;823413898;1676586102;
34;10;1613637375;816278655;1791218580;1505446780;1344274120;1078178876;388840747;1462124867;
35;3;806401359;1050536308;1695215489;1973476915;762560892;1804543049;269364956;1637901032;
36;11;1006798035;49925850;1832876499;1876838233;400677569;2101258031;1335051615;1396574168;
37;11;1472293595;1685862484;253692297;978174059;1168231497;589863395;1989172349;1862710324;
38;10;2498748794;829888644;733526517;1697756589;861174279;343580556;2479217642;556106979;
39;14;741843460;2124539755;1127330456;699404054;1097035841;1725911719;1390799918;1093134797;
40;9;167033357;2199293024;1202578175;1274923250;1863240857;1539727257;1316011995;437192085;
41;14;1907576371;1273890954;1754727310;959783255;897240648;886459311;641878834;1678443317;
42;6;1479407595;1970731668;807492079;1629407417;887065242;1065624754;1667560169;492711076;
