Tree;scenario;a;b;c;d;e;f;g;h;
1;2;235873592;1225945865;978525530;2409816626;2278322197;832747922;1443529634;595238634;
2;2;1817600133;1761923668;900593819;1156456397;592968655;1666718947;577938375;1525800006;
3;10;1380465372;207600197;199649230;2649582318;513615469;561132912;3445110689;1042843813;
4;2;1075196708;2095889869;1029178391;2233939661;1408289114;1486779096;626689043;44038118;
5;10;790434760;1647995847;1596747885;647120787;1791035326;1966181781;854422281;706061333;
6;14;843693912;931816395;654977195;1138948477;895376854;1933636307;1786764547;1814786313;
7;15;1327914941;1503438106;1492455937;1008676271;1282098770;1162663700;1032212526;1190539749;
8;9;415663161;120876043;941336972;1237656995;1224415145;3387271860;1966618990;706160834;
9;14;552578807;391150105;644784988;1446495590;1620124132;2665099124;1450965391;1228801863;
10;1;1343026865;199984744;1121201028;1990024742;1171276383;1381639215;2322046890;470800133;
11;2;886580318;2235512537;1970554023;686895129;1866483448;1943766525;357302659;52905361;
12;16;1923117153;1923117153;1923117153;576882847;576882847;576882847;576882847;1923117153;
13;14;1401333630;700225480;929285689;1782041548;1221794607;1169240132;1472244797;1323834117;
14;14;1471816183;1046806294;840459061;1502036192;872449391;910279742;1770072787;1586080350;
15;10;1673682669;4224127;1247167578;1309667669;1014805162;2051329183;101849013;2597274599;
16;8;995416132;1029352365;956481900;1517616519;1492216511;1569336256;1493001371;946578946;
17;9;1326322276;383597854;197226286;1748850306;912467943;1139290580;3042686474;1249558281;
18;10;576567403;1338212790;812739324;1769746347;1216003098;1287336587;1732619314;1266775137;
19;10;429357702;1219806991;738641955;1030818721;918006693;2417223868;1191017307;2055126763;
20;12;2406425;2236791898;1301916881;1310422661;1042778981;1812234203;292129506;2001319445;
21;1;280006830;2422754820;2654228684;124329893;1016358019;1245639822;1232757698;1023924234;
22;2;1577215745;1484798208;1324606462;1512512040;1476772752;783818727;1528873909;311402157;
23;2;776131002;1820671552;1687117431;1753622092;1155877083;1000647286;157571429;1648362125;
24;10;1264190899;976122239;907952356;1365304270;1027880375;1353363141;1533353366;1571833354;
25;3;1174552601;1670858694;1030740927;1140168181;1166637641;1321358093;1171539040;1324144823;
26;1;1005165478;361980309;2836265680;1582139234;1574603362;1227331382;98291240;1314223315;
27;1;423167773;806923492;1416978689;478082040;1939018096;1637267196;1804522746;1494039968;
28;12;1321454903;2027931197;1184560032;246154589;950303012;1603083161;1618461964;1048051142;
29;10;180293528;1914696612;1228476163;1595131808;1502371965;1397008303;1001260520;1180761101;
30;6;1861825819;1137499275;2132208104;1461440728;1684120144;905287048;347313198;470305684;
31;12;123847857;784433846;841845491;2532022936;1635767782;1547921017;901789199;1632371872;
32;12;1265063724;1338927020;1149779960;828726303;1387805910;1626735371;1651920792;751040920;
33;9;1717429406;1795906611;1542466265;593506524;1526031389;851346179;700259604;1273054022;
34;10;874976187;2024654051;694057376;390528793;412702195;1564954925;1386054722;2652071751;
35;10;1803335292;1981869149;2182393941;775564489;802516514;401150353;737985946;1315184316;
36;13;1105031449;770375573;338826062;1829994206;1528754392;1257297437;2384844204;784876677;
37;12;1558184418;1436482986;1206766542;1006203329;783788323;969421433;1213781812;1825371157;
38;10;1515306173;72554048;623223771;852027716;466065847;1981563234;1001730165;3487529046;
39;4;1956178831;2165776833;410498148;889206025;205242095;1094888610;1174821186;2103388272;
40;1;2138813112;2138142751;1295271527;891769515;127915563;2158114882;226986397;1022986253;
41;11;183490042;1969410376;751017784;1717015923;3395434638;723793678;194900756;1064936803;
42;10;2805932609;1636615550;2821374807;261752965;977619363;97299259;1248322853;151082594;
