Tree;scenario;a;b;c;d;e;f;g;h;
1;9;377747646;2033505399;1708211805;1741207759;1716392282;699928783;1545422368;177583958;
2;2;527136177;1227327842;943870260;2185901926;2130627532;1038150292;1573845160;373140811;
3;14;1903035335;2164741389;1415539893;709019022;526285608;173739030;1322483513;1785156210;
4;9;2288514423;1095404903;211114838;2117052171;1638999609;12290134;77080089;2559543833;
5;10;1094980496;2082166419;2134493585;1535353924;1041541307;210476437;515694611;1385293221;
6;8;844735419;1393947113;1684557947;1058656205;2125994723;1712557014;658912967;520638612;
7;12;1165418038;944036414;1597972651;1656316685;1819127022;1117837136;761831383;937460671;
8;10;1398097706;850320527;1803731562;879438029;1782987275;1678297024;613743922;993383955;
9;2;1079568483;1098930767;2071175253;707079815;2545565664;306806195;1965533805;225340018;
10;1;595401712;1641354803;1347196413;2036543529;629526620;487327280;2384599129;878050514;
11;11;1393193502;300854407;1229604827;2173482086;599502836;1258339239;1475292784;1569730319;
12;5;525647638;799785985;1696143830;1370375694;1942562638;1107362669;1563046475;995075071;
13;11;348331001;2383831686;374617974;1935027649;2193128329;351320715;334395500;2079347146;
14;12;974277138;1448837977;1268590422;1257988650;1228782105;1358067361;1040325160;1423131187;
15;10;532622077;587914767;372728294;1396896155;845180064;2029831176;2641909450;1592918017;
16;12;1233799379;1544185584;1234307637;826105172;1143533453;1415150231;1403154966;1199763578;
17;5;863853401;1946931072;1782912327;679448347;2071304943;1610814851;742839550;301895509;
18;9;220907240;1355688103;10870354;2544612203;1076008473;371522120;2549547204;1870844303;
19;11;1483831597;1911245033;2043878181;981407229;1630388677;416670110;377947786;1154631387;
20;2;664603312;1791936750;1870431339;1966532110;2146198917;1067353773;185014552;307929247;
21;4;1414721464;719551763;1777144233;1882909757;1707969740;659229836;638539526;1199933681;
22;10;1786827347;839863855;1278118118;2753184541;1743707837;124272947;1181694864;292330491;
23;11;2714324125;1133747197;1816754154;193156535;374313233;980335543;1599627649;1187741564;
24;9;1132050170;176960617;1305757428;1442624412;2038141157;2112237276;1159603769;632625171;
25;7;2315243361;1313773472;914823255;1230110366;828315754;571376797;1259726668;1566630327;
26;4;1574304991;1392898737;1643756288;347189671;1170326302;995451139;1639529618;1236543254;
27;6;2446851513;788308607;2094687849;871053185;757951710;856295529;165758528;2019093079;
28;8;56330119;1149108987;2778894841;51408643;2807521247;1157846524;1008790354;990099285;
29;1;1835798289;1427161197;1694053133;606042158;564269506;2075520804;1515918670;281236243;
30;10;1871550346;765973234;1469505531;1565448585;746539143;927687618;133155533;2520140010;
31;2;951384137;1159762796;374243984;946249305;442841548;2107037260;1933188279;2085292691;
32;9;1810076840;475724150;1113530824;1458576471;1518773113;1356761445;565847063;1700710094;
33;13;1978594973;1844054901;182230240;107279292;1855507724;1081206892;1743157475;1207968503;
34;11;1979612469;644647273;736208338;1670383002;1564504424;921115585;2245996985;237531924;
35;7;931426678;903953911;1878226334;1084192548;1800803398;1036853569;1129358878;1235184684;
36;11;145947002;1225607913;399734889;2160264166;1584743034;1401689757;1316060611;1765952628;
37;2;1401608690;1991931147;1544728492;2472217312;1567584117;716114455;292745804;13069983;
38;14;2011154531;1011858297;1842858024;2092371470;1893861170;7982489;1098120069;41793950;
39;2;917035967;1211617346;1508779468;2081784065;1916516193;1440642614;167517746;756106601;
40;1;792038503;1987256364;1404945813;1236098109;1389487797;137762231;1753125396;1299285787;
41;2;984936417;1288368284;1209598153;1639666773;1728693666;1707587109;838365268;602784330;
42;10;2061969864;275076299;1158357835;385693265;1884294750;2227137645;1709024565;298445777;
