Tree;scenario;a;b;c;d;e;f;g;h;
1;10;1929436904;180508120;861164764;586620661;866241275;2145342820;1375765545;2054919911;
2;9;1565166147;1214870535;1406318567;791322207;6643165;1139297891;1692806640;2183574848;
3;14;1411548560;1713570196;2284616600;1189538748;1936299825;239346730;1204768569;20310772;
4;8;1436153821;11220257;2171337916;1438224893;2120366152;37118105;1361053261;1424525595;
5;16;2475016007;2475016007;2475016007;24983993;24983993;24983993;24983993;2475016007;
6;2;1347292388;1365478170;1903461905;1484514208;2190112385;610542771;1083026304;15571869;
7;10;1891221890;191069724;967731198;982167700;1054988735;1901105127;1245195291;1766520335;
8;2;1579981180;275129542;1907869443;976745953;1691749443;966156293;1064074734;1538293412;
9;11;1465234092;742181668;1441834765;2154588530;1216272486;835831483;662282482;1481774494;
10;6;1049786781;1909544431;1506077189;880802415;1278888259;2063563871;339991966;971345088;
11;14;1588978264;1406023042;1441982081;1567832898;1379159517;476632535;1494894346;644497317;
12;2;1207536175;737528716;1008316427;1409645499;1625400727;1420544296;1730022606;861005554;
13;4;1442144950;1667673661;1085616001;1426033959;1055505442;1582678132;831260618;909087237;
14;14;385430193;3136606040;2471113099;202476005;1246151908;1786003557;113932115;658287083;
15;10;1192775856;1797325862;955443495;996775997;645495229;847436788;1576220116;1988526657;
16;1;91339420;2904872329;1610092821;66200866;2996125343;719763313;1153882026;457723882;
17;12;1261717642;1229717303;1326225796;1316996696;1304038116;1179039371;1151493420;1230771656;
18;2;1666871874;464654079;1605717086;1139864840;1293722964;619643429;1418749983;1790775745;
19;11;740262845;1988612790;851923719;1696875618;1963736385;539445898;461738445;1757404300;
20;9;1607886675;691611207;1558210822;1542105807;1082516875;1231287073;1683031073;603350468;
21;1;282822905;3057591031;452252697;285990668;1739781832;271586096;3341690082;568284689;
22;2;2760700958;288376308;2039231893;722792298;790517928;469443314;824067872;2104869429;
23;12;1269832591;971307947;1335825975;1855714527;1347429432;954941194;848691514;1416256820;
24;6;339259805;1508255756;1592061305;416224582;2000262163;1161927139;1975649401;1006359849;
25;12;516530483;1948139590;688783046;687021917;688930993;1978252973;1673335407;1819005591;
26;9;1233601431;1244436111;1253085224;1439077682;1657832799;1078769043;1130799699;962398011;
27;14;913542013;1864368219;1744397563;860878623;1632039034;1306549873;1018802667;659422008;
28;14;1511724307;48037166;754389535;2114533893;1054552871;1480694920;1177296184;1858771124;
29;5;1023887427;2683890567;1504042532;479902944;287307479;874398615;705126486;2441443950;
30;5;1000563590;1530807177;1231830049;1329873917;634922612;1421386873;1297554115;1553061667;
31;14;2063161274;1407692884;2093724390;854429543;868947582;665234963;522764926;1524044438;
32;11;889773738;136459430;3080595391;1547893758;287258693;2277668489;313285253;1467065248;
33;5;797765706;784136949;812276468;1794333034;1505612294;2390932911;1016994498;897948140;
34;2;968643564;938245926;1673780329;2078421696;2256815500;1266183155;114039448;703870382;
35;2;858295154;1659543104;1577675377;886230915;1518015947;1417984118;1090815541;991439844;
36;3;35933265;1658031769;1209837672;531964546;1116600547;1990731150;1547864529;1909036522;
37;2;1270408521;1941388809;1866756772;2850547625;1786794312;109511188;168363817;6228956;
38;2;564669301;2231177944;810395052;508554491;1107640828;2605203986;1520312358;652046040;
39;13;828590231;1596858865;1364804375;1229685980;934011161;1381511801;1423860877;1240676710;
40;13;361955358;1280637079;1306990826;1615155017;1089123088;1782271431;1684459479;879407722;
41;6;1312153145;13851579;894639736;1584887998;1099989446;2103509756;694780370;2296187970;
42;6;753391869;1823763403;1623663616;627029598;1257470098;1098494502;1414078643;1402108271;
