Tree;scenario;a;b;c;d;e;f;g;h;
1;1;1107335600;721553209;688533755;1817479682;1185174149;338368828;1625724504;2515830273;
2;10;1266293943;1459442228;1573494738;860782850;1349683824;1397516010;1017913291;1074873116;
3;9;1096114218;819001710;1690743576;1588456463;211526338;1401993283;1640480998;1551683414;
4;10;1407160644;1412088219;1376774983;1478236738;999368298;732241584;1028131474;1565998060;
5;12;2233678149;701436831;1412380794;1405619024;1604774952;800573250;1487417705;354119295;
6;16;2171195298;2171195298;2171195298;328804702;328804702;328804702;328804702;2171195298;
7;2;1003550348;1368914304;508490374;983981368;436859489;2429426666;801768457;2467008994;
8;10;2473963633;1260780447;1820319570;552402118;1440081930;662348239;1787893333;2210730;
9;10;378344418;2087813068;1956758663;584706922;2473253944;1708352895;789742504;21027586;
10;2;1598416704;516056648;1452010140;289003340;1648406413;1409206128;1997220278;1089680349;
11;1;852042974;1467865241;1490526572;1676671192;955740501;1677719910;1765677717;113755893;
12;2;1067225660;1347275969;305006646;2278989554;469227556;979728891;2363376072;1189169652;
13;2;649136275;717224159;963383014;2885319142;2175321055;497120612;1382870338;729625405;
14;2;1837791013;924313501;1277189869;1012972677;1002993536;1766574416;641148139;1537016849;
15;2;1041063183;1326041925;802918643;1805228901;840708182;646947393;1825890170;1711201603;
16;11;2267560948;1677758279;1238439765;7567320;677817050;955338459;1956802043;1218716136;
17;2;1534678903;246426819;1141201318;2244826226;1996237044;1677194912;420483565;738951213;
18;9;1115938970;1496727081;1390403916;1374109284;1236116268;1016479968;1356358838;1013865675;
19;9;1338709757;654840212;803135966;988079194;1080604482;1934735990;2250420361;949474038;
20;8;1291684468;678273225;867721662;1990258944;1342117551;1042750549;1707697593;1079496008;
21;10;1039523686;985752833;797513459;1608383570;1586622134;1383415808;2097679470;501109040;
22;1;93022697;2035502574;2180409656;1113173609;371936896;1323780622;2155753628;726420318;
23;5;472336742;773634770;1836305970;2339178313;338206297;1822155695;868315743;1549866470;
24;14;985679698;1493732623;1093434231;925288039;1052656105;1628358566;1260621429;1560229309;
25;6;727830137;77647023;1856883969;861780770;2050008415;791930603;1572613209;2061305874;
26;10;1434731490;986052385;1580536308;1691159387;1106940481;967701712;375382060;1857496177;
27;10;289295796;2097365316;1123549598;1818481625;611162071;673415284;413919785;2972810525;
28;9;2834220902;187279228;2341457145;513217868;500138916;1552013913;715056600;1356615428;
29;13;1287294570;1609870001;2040624484;260999691;2165783712;1506027569;286039048;843360925;
30;14;1418961093;1917192540;1365843579;1219601298;1155736016;442255933;1779413289;700996252;
31;2;258037626;1842995458;1629269218;1549791796;2401680976;328996507;1696965413;292263006;
32;10;1687187076;2046460139;1978331872;508632361;1300153375;661605092;1476914204;340715881;
33;3;1862331353;225822931;1728463571;1365402135;1695310631;60489574;1611096287;1451083518;
34;10;1849483123;127914837;1488763646;840115583;1513938642;2141513807;564298437;1473971925;
35;14;1465575832;1377059839;1388070488;1283467017;1228427742;894591231;1281512558;1081295293;
36;14;980976397;950077870;2200761747;1360282073;3034295259;715056282;693923250;64627122;
37;10;1394290055;1319219496;1193499156;1562492452;1226002461;751660212;1551623889;1001212279;
38;2;1521238356;1463066232;1457390337;620250338;1260103865;1441163901;1287864677;948922294;
39;12;1005195227;1398539617;1176939801;1013615227;1302806965;1606551955;1362105378;1134245830;
40;10;1784047552;339674124;1962801545;613994669;2275452701;1825244451;681938246;516846712;
41;9;1922267994;942213537;1909839736;694665207;1688087404;1265473391;311523828;1265928903;
42;2;946753256;791366040;2267314815;185502747;3074610146;2148372735;345632741;240447520;
