Tree;scenario;a;b;c;d;e;f;g;h;
1;10;1078701339;907590926;1157184991;1777299251;1159144600;1230873394;862552838;1826652661;
2;13;699209847;268864449;779292827;2150126348;551451126;1577366581;2192493994;1781194828;
3;13;992553608;1587890719;1515023187;885510430;1191031652;1625782129;837051191;1365157084;
4;10;1387171560;202536196;1893504498;935390253;1975071773;2160315852;25939513;1420070355;
5;14;2184040829;306935157;1536223725;1741841912;1208380539;1068002836;420342253;1534232749;
6;13;1460246264;1945086601;1225087334;1262603751;1206485805;317691028;2002959559;579839658;
7;5;2283152371;458325632;1182690968;959154942;1268587873;182343524;1517096438;2148648252;
8;14;1633391971;518344799;1780323564;1565442296;1716908658;1192209421;429046201;1164333090;
9;12;498439693;1349141053;1682221878;1524428306;1850109071;1460023649;375168112;1260468238;
10;15;2108030926;1226413966;1627634081;1127817949;1018016561;645378000;866052769;1380655748;
11;10;573022312;1957322702;1367404244;942243763;1517080944;1740067838;1053972173;848886024;
12;14;1931219271;1216229147;2174170399;1053182119;1147717484;741175518;535664256;1200641806;
13;3;581172210;832813236;102251854;3387157104;44736832;926615191;710725411;3414528162;
14;12;1231767634;1863047927;1409647129;743196306;950825863;1234038915;1074579819;1492896407;
15;1;166949145;1382224210;1878933647;1042968406;1662551147;1691406319;376753917;1798213209;
16;5;1633718901;1425989627;424917314;1693354989;41064489;1734992940;1127049999;1918911741;
17;11;1472141298;1459015316;2547002213;404962831;1870395005;1151557874;863193985;231731478;
18;9;1626274313;1252741593;600642097;1191805867;1366408196;899160461;1696647652;1366319821;
19;15;1879312022;1457121162;655851963;1001241651;1302833021;617119928;1839617554;1246902699;
20;9;2688593907;643615094;706313949;1956572416;1024937654;356775653;2282109588;341081739;
21;10;1860535281;885547215;1546432384;1597854529;1251613228;789978703;866605509;1201433151;
22;14;1391264686;1255972360;1208231445;1356840565;1227753924;1000141851;1418790662;1141004507;
23;12;950053877;1151886232;1420316640;1855552390;1324535172;1066436235;552724154;1678495300;
24;3;1295559910;364513062;1335101623;2778075468;1542138492;1220146305;641499267;822965873;
25;10;1384564567;916180838;1508151578;910452036;1570218294;1749804681;889521986;1071106020;
26;5;809618773;1570078858;866206985;1520225686;165427723;1571372626;1734943747;1762125602;
27;5;442509166;290126405;1443058283;1633021026;1079717624;1608124869;1568311398;1935131229;
28;12;822390041;1888579884;1195636415;1025946393;855525628;1310057213;955965697;1945898729;
29;7;2281900388;1481042596;188345207;1283188114;699775722;669699836;1823748306;1572299831;
30;2;2900469155;713499710;2197786431;150478673;1285923924;1375757844;869671646;506412617;
31;6;495063820;1950532701;1307704772;555155224;1406097662;2048329644;1197917305;1039198872;
32;2;1495575058;995088838;1620071045;1648108881;1631632581;1270060693;485342855;854120049;
33;2;390858609;463340429;666004798;1135918330;1668386054;2185029359;2148795524;1341666897;
34;15;955285149;2132001043;650371513;350063187;1812144607;1959294647;1627573025;513266829;
35;1;25552777;1386144595;1464378385;1600811887;2075225309;1078351827;286350862;2083184358;
36;10;349260495;912247946;593825833;1285834562;2031302738;2603667262;1815502067;408359097;
37;6;977812470;424294984;1180910852;849474498;1016206317;1325620057;1417384024;2808296798;
38;6;664900427;559285915;1323918177;1158471535;2407717761;2206287724;663648540;1015769921;
39;11;9404241;781327467;826464773;2387962258;961574566;1675719969;1170261490;2187285236;
40;10;211768808;1661056103;1686476524;1558219509;1448529973;1615116216;13128439;1805704428;
41;2;50281228;1857140213;951999547;1958874740;1571589883;918430454;1763005456;928678479;
42;10;1500259041;1147570704;645764380;1811774696;576913634;298693763;2015188627;2003835155;
