Tree;scenario;a;b;c;d;e;f;g;h;
1;2;460346746;1005143980;1511212562;1691085496;2048838346;1112772059;920229579;1250371232;
2;6;1123579181;1389820847;1155866920;1022988089;1077555414;639504890;2057330511;1533354148;
3;10;768084440;1987365107;861160340;1222298865;741612604;844142968;1797806401;1777529275;
4;2;1817909178;1007644763;1158836541;1927865237;859660544;603136348;843192825;1781754564;
5;16;1670201162;1670201162;1670201162;829798838;829798838;829798838;829798838;1670201162;
6;1;153200661;1750666657;2022457345;1779529702;1783029368;1248236562;875906713;386972992;
7;9;702387874;1696784993;978405606;1357942067;1239252490;1271721606;231224112;2522281252;
8;15;1035698666;626912806;1582496977;1941435045;889547233;1460065279;883636763;1580207231;
9;2;1495784289;1533665968;1192177220;1118756071;762145111;1934624423;63073727;1899773191;
10;10;1336760362;1323682226;1663190565;309559578;1107731479;2171606923;422974424;1664494443;
11;6;2786464984;1794390012;1223149623;523365664;216929395;643465980;163798573;2648435769;
12;10;1317065491;1454105538;1535077348;1020811537;1382047898;1179566296;1182775564;928550328;
13;10;1832096901;1192538265;1719425767;483324763;1028114985;1505603085;751224628;1487671606;
14;6;938687126;996669774;1003582791;1950373410;2076213437;1127760446;1594701939;312011077;
15;12;1365559559;704062297;605737126;2003074276;616682155;724137272;1712155161;2268592154;
16;9;1945066835;798231335;615512702;163383576;1770459371;2149998923;2425600690;131746568;
17;2;1426895538;1862987469;595257496;663047582;563264138;1505032789;2122795983;1260719005;
18;4;492072150;833111078;1129426385;887366996;1911819274;1423149937;2055673047;1267381133;
19;2;654978782;1659581026;1959434930;136469101;1067409028;626230440;1669626533;2226270160;
20;4;2101327886;1286748450;848769169;185086962;769408145;1179160982;2627072147;1002426259;
21;2;2483504521;2446693361;1496706230;772776857;345679968;656854107;123095261;1674689695;
22;9;1780353396;880962513;737524722;1709599471;2065325495;777412052;34653540;2014168811;
23;16;1881250595;1881250595;1881250595;618749405;618749405;618749405;618749405;1881250595;
24;10;1447455470;2277027391;1491063516;1055154085;645887694;207568497;1111124400;1764718947;
25;2;305994016;1612352156;1943899085;665542689;1814614725;789266411;1585846682;1282484236;
26;8;2545381555;149711947;2308196923;1411210881;1283831648;97812188;784150822;1419704036;
27;16;1284669435;1284669435;1284669435;1215330565;1215330565;1215330565;1215330565;1284669435;
28;1;1114438663;2043839326;321921654;2160937468;110969692;715376278;2079494127;1453022792;
29;14;1449884579;3048214255;2471952516;210738996;308742664;423383843;199817007;1887266140;
30;9;667865663;515793697;1382165707;2118048665;2088582573;1556241905;1385450867;285850923;
31;13;1185419725;1804058572;1755243015;877561029;1020204880;1139348587;902678678;1315485514;
32;1;2321435203;733200620;2188304222;362179208;716575296;186505865;1783094478;1708705108;
33;13;174756513;798943639;1989693155;2345473917;1550223641;1499805276;1013935808;627168051;
34;2;568026042;2548938909;2183360525;430244985;1425905524;220055506;1894529982;728938527;
35;2;544683213;745174850;1925970250;229832447;2165639426;2099775472;783220299;1505704043;
36;14;1310398355;1509699614;1347553708;1637463449;1716151330;535062464;1704366314;239304766;
37;16;2110991386;2110991386;2110991386;389008614;389008614;389008614;389008614;2110991386;
38;9;1106205436;1075405050;875127480;1692868078;1146243359;1122353541;1163400116;1818396940;
39;2;1546914808;881871550;1499570126;964084985;1188719212;612885949;1623693978;1682259392;
40;9;1369992002;1680078201;1760842437;933324700;1204929385;988758954;549155520;1512918801;
41;10;1804155374;594274184;836285973;663793461;888220537;1768600003;1866590304;1578080164;
42;2;1474596735;1899452831;203867755;1595731269;158804327;2136684397;462153879;2068708807;
