Tree;scenario;a;b;c;d;e;f;g;h;
1;13;1929449098;1113339003;1577673118;643764934;2330930418;1024425479;585897845;794520105;
2;2;1971917787;466843260;1279699131;1616487965;1699685401;2090468035;311713749;563184672;
3;9;1544521222;772549924;1644068407;1304798568;1658222596;1283162516;110158911;1682517856;
4;9;1855833826;824548451;1583803923;848471335;621149262;1449261475;1165826734;1651104994;
5;11;1478633798;1185658504;1437172573;1130087602;1264792388;1192010312;1258871887;1052772936;
6;16;1444291063;1444291063;1444291063;1055708937;1055708937;1055708937;1055708937;1444291063;
7;2;670307598;375855025;1710664685;896538911;1929674487;2005808888;442703678;1968446728;
8;9;977644123;921790815;1400667831;1570972354;1887849127;1419566018;730386501;1091123231;
9;9;1261417826;2367625114;240120655;273276067;2193661608;1314958896;1434544312;914395522;
10;12;1860485568;1807783855;1683862409;127328525;1128240348;1221935082;1540125964;630238249;
11;6;1020026229;1575650182;627459103;2033983434;1305817638;1964421044;1410648717;61993653;
12;14;650900040;517883020;821220853;1619081620;2031798716;2210190257;1284924312;864001182;
13;9;1607164649;1116155758;1895666005;1159608342;553652453;1140213105;1694322055;833217633;
14;13;490852284;270734384;758501650;2149512550;1652501278;2082244473;1629448424;966204957;
15;14;688837909;2038722383;2180828360;574808248;1812846139;1567669873;567582905;568704183;
16;12;939755797;1048505636;844829526;1553553979;1142602373;1392126917;1644290998;1434334774;
17;3;1510357929;289326308;1957977699;1983163907;187900372;1435206237;572131658;2063935890;
18;13;1198080982;1114082525;751931807;1279426789;1638468543;1421829606;1646714791;949464957;
19;5;2121539764;1016008747;3063859908;1948940381;149825970;411527150;361169440;927128640;
20;10;1972677983;845558491;1448635480;1121782325;941498780;1116462985;783364248;1770019708;
21;10;1005306735;1155745038;1283239435;2265214981;1021417525;651358833;469239266;2148478187;
22;2;1682489438;722516318;1323440718;1019580111;1507156201;2819811762;5030904;919974548;
23;11;1209916131;1381786992;1708849552;1134221862;656969800;1298045165;773058138;1837152360;
24;2;2329945952;2052771659;478630959;307768869;270052928;319014585;2735480937;1506334111;
25;10;708948641;1752919305;1643773161;1107413827;1539686553;1414822924;795116261;1037319328;
26;2;1893404267;11691888;887517766;2656575539;1845111996;1729589581;533218973;442889990;
27;14;1529034589;1140796052;763774957;1744443716;850059872;524879006;2179493367;1267518441;
28;9;757166567;901945801;1816820259;1459184034;1628077587;1747440300;483212649;1206152803;
29;3;61759022;1831440011;901819115;663950731;2074675700;1689061730;1364311909;1412981782;
30;2;1384762482;1590008806;1726609431;1501974200;1540431452;578190505;1127502986;550520138;
31;2;1099399801;963448776;2647096407;1394034028;2164138364;67356811;875748754;788777059;
32;1;1796606848;2013712085;1882635948;561504237;775168630;1574572980;1212814457;182984815;
33;11;1618531156;1254672144;1748864148;1089817905;1788483600;854710599;954153576;690766872;
34;1;2002483704;503954235;818876451;1073438705;2080294296;394684058;671584088;2454684463;
35;12;1794759998;855932470;628702128;1058734406;732778961;1016709041;2593313633;1319069363;
36;11;700780080;1466671875;1359649120;1402673577;1492071873;1429295345;771405615;1377452515;
37;6;827966005;1290962867;1197429213;1156715290;1633056962;1637985245;1370817778;885066640;
38;10;1979354669;543395500;905737380;1919396479;1152676896;858591092;1667312630;973535354;
39;12;2124099356;2560485276;2491222552;49682584;265504780;293049067;367308524;1848647861;
40;4;787215620;1673883865;1625946769;241877517;1057660736;1107143420;1539988481;1966283592;
41;10;944664209;2114312960;1367593807;559048466;1260933166;1608470768;1401793175;743183449;
42;9;258506874;2124763696;82867957;1740595528;2013349014;872752454;1886344431;1020820046;
